id,trace_id,sequence,purpose,provider,provider_attempt,state,timeout_ms,quality_signals_json,usage_source,input_tokens,output_tokens,cost_micro_usd,error_code,created_at,completed_at,channel_id,client_id
14,chatcmpl-cdab0f26cb77468db762aac46663f387,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1747,5,,,2026-07-30 13:11:45.740579,2026-07-30 13:11:49.501506,dev,lobsterai
15,chatcmpl-c14a4bc37f8d488f840c8c8a262ec9e2,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1758,23,,,2026-07-30 13:11:49.527714,2026-07-30 13:11:54.070840,dev,lobsterai
16,chatcmpl-ae8e35df61e442a99e2a79f0c56527f5,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1786,5,,,2026-07-30 13:11:54.092947,2026-07-30 13:11:57.987577,dev,lobsterai
17,chatcmpl-1047c6c040394ed3ade489b20d3e5548,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1797,23,,,2026-07-30 13:11:58.257575,2026-07-30 13:12:02.940223,dev,lobsterai
18,chatcmpl-cbd428336ab04f209afd55482b93037c,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1825,5,,,2026-07-30 13:12:03.215887,2026-07-30 13:12:07.284060,dev,lobsterai
19,chatcmpl-9fdae6ab556b4c9a97c2b0657c332802,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1836,23,,,2026-07-30 13:12:07.549424,2026-07-30 13:12:12.595473,dev,lobsterai
20,chatcmpl-41b79579eaa14d29a5c770cb61ff9768,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1864,5,,,2026-07-30 13:12:12.619249,2026-07-30 13:12:16.963669,dev,lobsterai
21,chatcmpl-b23037cb6dfc4f039d2c41a5d3cc5740,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1875,23,,,2026-07-30 13:12:17.233065,2026-07-30 13:12:22.412899,dev,lobsterai
22,chatcmpl-a9b29752bfb94a2297a0040756528b07,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1903,5,,,2026-07-30 13:12:22.435886,2026-07-30 13:12:26.945064,dev,lobsterai
23,chatcmpl-40227317fd3547b2ac41b6583dacf462,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1914,23,,,2026-07-30 13:12:27.207967,2026-07-30 13:12:32.312634,dev,lobsterai
24,chatcmpl-589ea267c0ba46de9955dde5ff2cd16d,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1942,5,,,2026-07-30 13:12:32.591126,2026-07-30 13:12:37.495940,dev,lobsterai
25,chatcmpl-e069145579204c77b406c918f45aced2,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1953,23,,,2026-07-30 13:12:37.518195,2026-07-30 13:12:42.782863,dev,lobsterai
26,chatcmpl-274531b4d2f64505a02b894aa8465c84,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1981,5,,,2026-07-30 13:12:43.041527,2026-07-30 13:12:48.121094,dev,lobsterai
27,chatcmpl-a72b3aea9e844aaeb9f17d39ef1d41ab,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1992,2,,,2026-07-30 13:12:48.144149,2026-07-30 13:12:53.793760,dev,lobsterai
28,chatcmpl-a72b3aea9e844aaeb9f17d39ef1d41ab,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1898,5,,,2026-07-30 13:12:48.144149,2026-07-30 13:12:53.793760,dev,lobsterai
29,chatcmpl-59b6025eb4b847c39e1c3d8143a6e84a,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,2003,2,,,2026-07-30 13:12:53.827408,2026-07-30 13:12:59.379114,dev,lobsterai
30,chatcmpl-59b6025eb4b847c39e1c3d8143a6e84a,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1908,5,,,2026-07-30 13:12:53.827408,2026-07-30 13:12:59.379114,dev,lobsterai
31,chatcmpl-e62a76dec7cb4be699ce62ae451f9b39,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,2014,2,,,2026-07-30 13:12:59.402275,2026-07-30 13:13:04.967647,dev,lobsterai
32,chatcmpl-e62a76dec7cb4be699ce62ae451f9b39,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1918,5,,,2026-07-30 13:12:59.402275,2026-07-30 13:13:04.967647,dev,lobsterai
33,chatcmpl-78abf93fe4234dc4b83f3c120db56e73,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,2025,2,,,2026-07-30 13:13:05.001040,2026-07-30 13:13:10.678978,dev,lobsterai
34,chatcmpl-78abf93fe4234dc4b83f3c120db56e73,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1928,5,,,2026-07-30 13:13:05.001040,2026-07-30 13:13:10.678978,dev,lobsterai
35,chatcmpl-56242b3b87584ae5aaadbb30cb8fae9e,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,2036,2,,,2026-07-30 13:13:10.716666,2026-07-30 13:13:16.598971,dev,lobsterai
36,chatcmpl-56242b3b87584ae5aaadbb30cb8fae9e,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1938,5,,,2026-07-30 13:13:10.716666,2026-07-30 13:13:16.598971,dev,lobsterai
37,chatcmpl-e54bff870713449fa282d01f4069e242,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2047,23,,,2026-07-30 13:13:16.620990,2026-07-30 13:13:22.378097,dev,lobsterai
38,chatcmpl-69b569da46a64d858873296cfe1c776d,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2075,5,,,2026-07-30 13:13:22.406095,2026-07-30 13:13:27.768831,dev,lobsterai
39,chatcmpl-58cea08cb8514f40bd32e2a4e6f2317b,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2110,5,,,2026-07-30 13:13:27.812521,2026-07-30 13:13:28.621480,dev,lobsterai
40,chatcmpl-1e60e51971db4249ae3334eea1bb8b1c,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2138,23,,,2026-07-30 13:13:28.665609,2026-07-30 13:13:30.133055,dev,lobsterai
41,chatcmpl-24991947b8a04efe9472f5e47b08d007,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2166,5,,,2026-07-30 13:13:30.170867,2026-07-30 13:13:31.222063,dev,lobsterai
42,chatcmpl-2ba6c214026845a19252d146ec08655c,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2207,30,,,2026-07-30 13:13:31.250249,2026-07-30 13:13:33.205213,dev,lobsterai
43,chatcmpl-2b50834bb10240788492c5666d557a2f,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2242,5,,,2026-07-30 13:13:33.244854,2026-07-30 13:13:34.766308,dev,lobsterai
44,chatcmpl-5f464ee6ecc740ef92e1ecf99e111402,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2270,5,,,2026-07-30 13:13:34.794410,2026-07-30 13:13:36.217930,dev,lobsterai
45,chatcmpl-b68815e238ea46738c95a657adcac873,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2295,5,,,2026-07-30 13:13:36.248688,2026-07-30 13:13:37.834178,dev,lobsterai
46,chatcmpl-a79a94546b044651aa5d86e18a494960,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,2320,2,,,2026-07-30 13:13:37.856723,2026-07-30 13:13:40.472678,dev,lobsterai
47,chatcmpl-a79a94546b044651aa5d86e18a494960,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,2210,5,,,2026-07-30 13:13:37.856723,2026-07-30 13:13:40.472678,dev,lobsterai
48,chatcmpl-8da8cf2827844ba68aefe4b7ba2642eb,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2376,35,,,2026-07-30 13:13:40.501973,2026-07-30 13:13:43.499188,dev,lobsterai
49,chatcmpl-cbddb04612b040a28a1c5cec98bd5c82,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2416,5,,,2026-07-30 13:13:43.543406,2026-07-30 13:13:45.723105,dev,lobsterai
50,chatcmpl-71796f58d6e74953b65396b0d21d6857,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2456,19,,,2026-07-30 13:13:45.749946,2026-07-30 13:13:48.518790,dev,lobsterai
51,chatcmpl-f315fe6a0b2b4454b5517c4e87c4abc2,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2480,8,,,2026-07-30 13:13:48.554272,2026-07-30 13:13:51.086460,dev,lobsterai
52,chatcmpl-bce06f14c62f4176bc3f7d53669546a7,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2504,27,,,2026-07-30 13:13:51.125791,2026-07-30 13:13:54.430271,dev,lobsterai
53,chatcmpl-15f3770616034307a4a18317e1cee805,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2536,5,,,2026-07-30 13:13:54.454726,2026-07-30 13:13:57.191923,dev,lobsterai
54,chatcmpl-751a51bf57f94ed59f188b5e0958eaea,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2592,38,,,2026-07-30 13:13:57.226490,2026-07-30 13:14:01.185055,dev,lobsterai
55,chatcmpl-21248bcb77144fdba9aeb52645b63032,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2635,37,,,2026-07-30 13:14:01.257276,2026-07-30 13:14:05.505988,dev,lobsterai
56,chatcmpl-18b2955508164532bfa4a7d852f2a89f,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2677,37,,,2026-07-30 13:14:05.535169,2026-07-30 13:14:09.939160,dev,lobsterai
57,chatcmpl-c4c65cc2faa44bab88c029621362ee70,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2719,37,,,2026-07-30 13:14:09.977531,2026-07-30 13:14:14.536712,dev,lobsterai
58,chatcmpl-cf6f5991da7b4ff09929f6addc5972ea,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2761,37,,,2026-07-30 13:14:14.559187,2026-07-30 13:14:19.392121,dev,lobsterai
59,chatcmpl-f1caf0afe50f4b888f3375abc0f76f19,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,2803,2,,,2026-07-30 13:14:19.431261,2026-07-30 13:14:24.024981,dev,lobsterai
60,chatcmpl-f1caf0afe50f4b888f3375abc0f76f19,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,2675,6,,,2026-07-30 13:14:19.431261,2026-07-30 13:14:24.024981,dev,lobsterai
61,chatcmpl-2bcb787948774d6bb0dc19642e355788,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1621,2,,,2026-07-30 13:14:24.283781,2026-07-30 13:14:32.659861,dev,lobsterai
62,chatcmpl-2bcb787948774d6bb0dc19642e355788,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1607,5,,,2026-07-30 13:14:24.283781,2026-07-30 13:14:32.659861,dev,lobsterai
63,chatcmpl-3fb8bdb8e1c74fbe9fc3a49b94c730b7,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1643,19,,,2026-07-30 13:14:32.687330,2026-07-30 13:14:36.475481,dev,lobsterai
64,chatcmpl-e1c9f7835bfa4f20ac0cc6da5cf0942b,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1667,5,,,2026-07-30 13:14:36.506687,2026-07-30 13:14:39.948021,dev,lobsterai
65,chatcmpl-3fb7d876f5404480ac409a5c55cda94f,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1678,2,,,2026-07-30 13:14:39.968046,2026-07-30 13:14:44.128777,dev,lobsterai
66,chatcmpl-3fb7d876f5404480ac409a5c55cda94f,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1660,4,,,2026-07-30 13:14:39.968046,2026-07-30 13:14:44.128777,dev,lobsterai
67,chatcmpl-973c96a81d774cbd880c1ad876116046,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1716,2,,,2026-07-30 13:14:44.158873,2026-07-30 13:14:48.439809,dev,lobsterai
68,chatcmpl-973c96a81d774cbd880c1ad876116046,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1698,5,,,2026-07-30 13:14:44.158873,2026-07-30 13:14:48.439809,dev,lobsterai
69,chatcmpl-739b159a25fe4655a260b50c266ca00e,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1738,2,,,2026-07-30 13:14:48.468189,2026-07-30 13:14:53.029289,dev,lobsterai
70,chatcmpl-739b159a25fe4655a260b50c266ca00e,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1719,4,,,2026-07-30 13:14:48.468189,2026-07-30 13:14:53.029289,dev,lobsterai
71,chatcmpl-b2cda8ac66e249ef9af0630799987425,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1776,2,,,2026-07-30 13:14:53.056725,2026-07-30 13:14:57.516856,dev,lobsterai
72,chatcmpl-b2cda8ac66e249ef9af0630799987425,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1756,5,,,2026-07-30 13:14:53.056725,2026-07-30 13:14:57.516856,dev,lobsterai
73,chatcmpl-c32a135de45243989733cdcecf67ac7a,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1798,2,,,2026-07-30 13:14:57.535624,2026-07-30 13:15:02.464700,dev,lobsterai
74,chatcmpl-c32a135de45243989733cdcecf67ac7a,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1777,4,,,2026-07-30 13:14:57.535624,2026-07-30 13:15:02.464700,dev,lobsterai
75,chatcmpl-81e5552b42fc4eab8e7dce62dec72c28,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1829,2,,,2026-07-30 13:15:02.484829,2026-07-30 13:15:07.490227,dev,lobsterai
76,chatcmpl-81e5552b42fc4eab8e7dce62dec72c28,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1807,5,,,2026-07-30 13:15:02.484829,2026-07-30 13:15:07.490227,dev,lobsterai
77,chatcmpl-04b5461eb30b403db47162ba944864f1,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1851,2,,,2026-07-30 13:15:07.516200,2026-07-30 13:15:12.426986,dev,lobsterai
78,chatcmpl-04b5461eb30b403db47162ba944864f1,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1828,4,,,2026-07-30 13:15:07.516200,2026-07-30 13:15:12.426986,dev,lobsterai
79,chatcmpl-ca12a30e529945ecbc9a55237211a0f6,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1883,2,,,2026-07-30 13:15:12.446370,2026-07-30 13:15:17.427210,dev,lobsterai
80,chatcmpl-ca12a30e529945ecbc9a55237211a0f6,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1859,9,,,2026-07-30 13:15:12.446370,2026-07-30 13:15:17.427210,dev,lobsterai
81,chatcmpl-ecb5442a234742d0b95875691ccd5b41,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1909,2,,,2026-07-30 13:15:17.452197,2026-07-30 13:15:22.337557,dev,lobsterai
82,chatcmpl-ecb5442a234742d0b95875691ccd5b41,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1884,6,,,2026-07-30 13:15:17.452197,2026-07-30 13:15:22.337557,dev,lobsterai
83,chatcmpl-c12c872f332f4a37b67e103000dbd190,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1937,2,,,2026-07-30 13:15:22.358599,2026-07-30 13:15:27.742971,dev,lobsterai
84,chatcmpl-c12c872f332f4a37b67e103000dbd190,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1911,12,,,2026-07-30 13:15:22.358599,2026-07-30 13:15:27.742971,dev,lobsterai
85,chatcmpl-de54624de19d46f7bebc70e419dd3ff2,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,1955,2,,,2026-07-30 13:15:27.765116,2026-07-30 13:15:33.685029,dev,lobsterai
86,chatcmpl-de54624de19d46f7bebc70e419dd3ff2,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""empty_output""}",provider,1928,68,,,2026-07-30 13:15:27.765116,2026-07-30 13:15:33.685029,dev,lobsterai
87,chatcmpl-168d3d61e467497d8a6fd93078cf4c3c,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2029,19,,,2026-07-30 13:15:33.703120,2026-07-30 13:15:39.295110,dev,lobsterai
88,chatcmpl-18c43bfb533e4603b8c3508b3ed247dc,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,2053,5,,,2026-07-30 13:15:39.314635,2026-07-30 13:15:44.568492,dev,lobsterai
89,chatcmpl-c3d22e5872c64cbf8f756c8140ce1543,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": true, ""forced_tool_missing"": false}",provider,2106,2,,,2026-07-30 13:15:44.591063,2026-07-30 13:15:50.639063,dev,lobsterai
