request_id,ts,model,stream,retrieved_count,retrieved_ids,retrieved_kinds,hit,finish_reason,prompt_tokens,completion_tokens,latency_ms,error
req-12,2026-08-03T03:39:05.215Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4544,
req-13,2026-08-03T03:39:09.829Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4774,
req-14,2026-08-03T03:39:14.638Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4885,
req-15,2026-08-03T03:39:19.574Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4999,
req-16,2026-08-03T03:39:24.632Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5345,
req-17,2026-08-03T03:39:30.030Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5580,
req-18,2026-08-03T03:39:35.641Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5898,
req-19,2026-08-03T03:39:41.556Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,6010,
req-1a,2026-08-03T03:39:47.620Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-725d6d7248370563"",""ev-45a38cbe4194237c"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,21371,
req-1b,2026-08-03T03:40:09.101Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-725d6d7248370563"",""ev-45a38cbe4194237c"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,6845,
req-1c,2026-08-03T03:40:16.012Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-725d6d7248370563"",""ev-45a38cbe4194237c"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,6877,
req-1d,2026-08-03T03:40:22.932Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-725d6d7248370563"",""ev-45a38cbe4194237c"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,7163,
req-1e,2026-08-03T03:40:30.142Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-725d6d7248370563"",""ev-45a38cbe4194237c"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,7372,
req-1f,2026-08-03T03:40:37.286Z,deepseek-v4-flash,1,8,"[""ev-157a481c66267629"",""ev-892e75bea953d1df"",""ev-e587e264f49bcba8"",""ev-628638bb7594f069"",""ev-0fd78b3f267c0ac4"",""ev-45a38cbe4194237c"",""ev-d2442128cc7afe72"",""ev-1742df56a1c408b6""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,12035,
